pv_to_load_series_kw,pv_to_storage_series_kw,pv_to_grid_series_kw,pv_curtailed_production_series_kw,storage_to_load_series_kw,soc_series_fraction,grid_to_load_series_kw,grid_to_battery_series_kw,cost_per_timestep
192.014404296875,0.0,0.0,0,4.46445636015369e-9,0.250547,307.9855956986605,0.0,0.3079856014251709
192.014404296875,0.0,0.0,0,0.0,0.250547,307.985595703125,0.0,0.3079856014251709
209.3494873046875,0.0,0.0,0,0.0,0.274225,290.6505126953125,300.0,0.590650520324707
209.3494873046875,0.0,0.0,0,0.0,0.289789,290.6505126953125,300.0,0.590650520324707
205.40103149414062,0.0,0.0,0,0.0,0.301316,294.5989685058594,32.084991455078125,0.32668395996093746
206.06076049804688,0.0,0.0,0,0.0,0.30298,293.93878173828125,46.69213104248047,0.34063093185424803
201.70774841308594,0.0,0.0,0,0.0,0.326923,298.29225158691406,299.99998474121094,0.5982922554016114
201.70774841308594,0.0,0.0,0,0.0,0.342476,298.29225158691406,299.99998474121094,0.5982922554016114
206.577392578125,0.0,0.0,0,4.428772459874608e-9,0.351244,293.4226074174462,0.0,0.2934225940704346
205.87429809570312,0.0,0.0,0,1.1300538282910111e-10,0.351244,294.12567138660575,0.0,0.2941256618499756
137.9061279296875,0.0,0.0,0,150.0,0.348821,212.0938720703125,0.0,0.31814080238342285
137.9061279296875,0.0,0.0,0,150.0,0.341046,212.0938720703125,0.0,0.31814080238342285
159.3011474609375,0.0,0.0,0,150.0,0.328366,190.6988525390625,0.0,0.28604827880859374
159.9071807861328,0.0,0.0,0,150.0,0.320589,190.0928192138672,0.0,0.2851392674446106
206.13987731933594,0.0,0.0,0,150.0,0.307911,143.86012268066406,0.0,0.21579017400741576
206.2485809326172,0.0,0.0,0,150.0,0.300137,143.7514190673828,0.0,0.21562716007232666
207.98574829101562,0.0,0.0,0,150.0,0.287457,142.01425170898438,0.0,0.21302138328552245
207.98574829101562,0.0,0.0,0,150.0,0.279686,142.01425170898438,0.0,0.21302138328552245
205.4556884765625,0.0,0.0,0,150.0,0.267002,144.5443115234375,0.0,0.21681647300720214
205.38504028320312,0.0,0.0,0,150.0,0.259233,144.61495971679688,0.0,0.21692243099212646
204.2559814453125,0.0,0.0,0,150.0,0.246548,145.7440185546875,0.0,0.1457440137863159
204.2559814453125,0.0,0.0,0,150.0,0.238777,145.7440185546875,0.0,0.1457440137863159
197.58912658691406,0.0,0.0,0,0.0,0.264056,302.41087341308594,299.9999542236328,0.6024108123779297
197.58912658691406,0.0,0.0,0,0.0,0.279599,302.41087341308594,299.9999542236328,0.6024108123779297
196.60174560546875,0.0,0.0,0,0.0,0.304965,303.39825439453125,300.0,0.603398265838623
196.60174560546875,0.0,0.0,0,0.0,0.320497,303.39825439453125,300.0,0.603398265838623
162.38104248046875,0.0,0.0,0,0.0,0.338349,337.61895751953125,210.8350067138672,0.5484539794921874
164.38037109375,0.0,0.0,0,0.0,0.349265,335.6201171875,198.4195556640625,0.5340396881103515
196.33013916015625,0.0,0.0,0,4.3122851955956776e-9,0.349306,303.66986083553144,0.0,0.3036698627471924
196.33013916015625,0.0,0.0,0,4.415160237414284e-9,0.349306,303.6698608354286,0.0,0.3036698627471924
201.99147033691406,0.0,0.0,0,150.0,0.349367,148.00852966308594,0.0,0.22201279163360596
202.0675506591797,0.0,0.0,0,150.0,0.341602,147.9324493408203,0.0,0.22189867973327637
203.28343200683594,0.0,0.0,0,150.0,0.328912,146.71656799316406,0.0,0.22007484197616575
203.28343200683594,0.0,0.0,0,150.0,0.321151,146.71656799316406,0.0,0.22007484197616575
205.2234649658203,0.0,0.0,0,150.0,0.308458,144.7765350341797,0.0,0.21716479539871214
205.2234649658203,0.0,0.0,0,150.0,0.300694,144.7765350341797,0.0,0.21716479539871214
207.46017456054688,0.0,0.0,0,150.0,0.288003,142.53982543945312,0.0,0.21380973815917967
207.59783935546875,0.0,0.0,0,150.0,0.280243,142.40216064453125,0.0,0.2136032724380493
211.479248046875,0.0,0.0,0,150.0,0.267549,138.520751953125,0.0,0.20778111934661864
211.479248046875,0.0,0.0,0,150.0,0.259788,138.520751953125,0.0,0.20778111934661864
149.99636840820312,0.0,0.0,0,4.282796783883214e-9,0.24953,350.00363158751406,0.0,0.35000364303588866
149.99636840820312,0.0,0.0,0,0.0,0.24953,350.0036315917969,0.0,0.35000364303588866
184.22764587402344,0.0,0.0,0,0.0,0.274567,315.77235412597656,299.99998474121094,0.6157723617553711
184.22764587402344,0.0,0.0,0,0.0,0.290087,315.77235412597656,299.99998474121094,0.6157723617553711
152.57261657714844,0.0,0.0,0,0.0,0.301088,347.42738342285156,26.424999237060547,0.3738523864746094
152.57261657714844,0.0,0.0,0,0.0,0.302455,347.42738342285156,26.424999237060547,0.3738523864746094
217.01820373535156,0.0,0.0,0,0.0,0.326734,282.98179626464844,300.0,0.5829818344116211
216.53582763671875,0.0,0.0,0,0.0,0.342252,283.4644775390625,290.0686340332031,0.5735331344604492
194.89614868164062,0.0,0.0,0,0.0,0.351322,305.1038513183594,3.61299991607666,0.30871685028076173
194.89614868164062,0.0,0.0,0,0.0,0.351509,305.1038513183594,3.61299991607666,0.30871685028076173
150.68531799316406,0.0,0.0,0,150.0,0.349069,199.31468200683594,0.0,0.29897202014923097
149.85752868652344,0.0,0.0,0,149.99998474121094,0.341313,200.14244079589844,0.0,0.300213668346405
204.6057586669922,0.0,0.0,0,150.0,0.328614,145.3942413330078,0.0,0.21809135913848876
204.6057586669922,0.0,0.0,0,150.0,0.32086,145.3942413330078,0.0,0.21809135913848876
195.76304626464844,0.0,0.0,0,150.0,0.30816,154.23695373535156,0.0,0.23135544061660765
192.65765380859375,0.0,0.0,0,149.99996948242188,0.300405,157.34228515625,0.0,0.23601342916488646
103.56754302978516,0.0,0.0,0,150.0,0.287705,246.4324493408203,0.0,0.36964865684509274
103.28785705566406,0.0,0.0,0,149.99998474121094,0.279954,246.71212768554688,0.0,0.3700681972503662
117.96835327148438,0.0,0.0,0,150.0,0.267251,232.03164672851562,0.0,0.3480474758148193
117.96835327148438,0.0,0.0,0,150.0,0.259498,232.03164672851562,0.0,0.3480474758148193
142.4546356201172,0.0,0.0,0,4.186480939694093e-9,0.249244,357.54536437569635,0.0,0.3575453853607178
144.04641723632812,0.0,0.0,0,0.0,0.249244,355.95306396484375,17.666494369506836,0.3736195850372314
147.8245086669922,0.0,0.0,0,0.0,0.274591,352.1754913330078,299.99998474121094,0.6521755027770996
150.26400756835938,0.0,0.0,0,0.0,0.290086,349.7363586425781,291.3868713378906,0.6411232566833496
195.26104736328125,0.0,0.0,0,0.0,0.301058,304.73895263671875,26.438995361328125,0.33117794036865233
195.7527313232422,0.0,0.0,0,0.0,0.302424,304.2467803955078,42.182701110839844,0.34642951011657713
205.5725860595703,0.0,0.0,0,0.0,0.326764,294.4274139404297,300.0,0.5944274139404296
205.5725860595703,0.0,0.0,0,0.0,0.342255,294.4274139404297,300.0,0.5944274139404296
210.8334503173828,0.0,0.0,0,0.0,0.351288,289.1665496826172,3.549999952316284,0.29271655082702636
210.8334503173828,0.0,0.0,0,0.0,0.351471,289.1665496826172,3.549999952316284,0.29271655082702636
217.2248077392578,0.0,0.0,0,150.0,0.349018,132.7751922607422,0.0,0.19916279554367064
217.48036193847656,0.0,0.0,0,150.0,0.341272,132.51963806152344,0.0,0.1987794542312622
204.09695434570312,0.0,0.0,0,150.0,0.328563,145.90304565429688,0.0,0.21885456562042235
204.09695434570312,0.0,0.0,0,150.0,0.32082,145.90304565429688,0.0,0.21885456562042235
136.33938598632812,0.0,0.0,0,150.0,0.308108,213.66061401367188,0.0,0.3204909110069275
133.6004180908203,0.0,0.0,0,149.99996948242188,0.300364,216.39952087402344,0.0,0.32459928274154665
74.6622543334961,0.0,0.0,0,150.0,0.287654,275.3377456665039,0.0,0.4130066728591919
74.6622543334961,0.0,0.0,0,150.0,0.27991,275.3377456665039,0.0,0.4130066728591919
95.99762725830078,0.0,0.0,0,150.0,0.267199,254.0023651123047,0.0,0.3810035419464111
95.99762725830078,0.0,0.0,0,150.0,0.259458,254.0023651123047,0.0,0.3810035419464111
211.3809814453125,0.0,0.0,0,4.053668511971864e-9,0.249203,288.6190185506338,0.0,0.28861902236938475
211.61080932617188,0.0,0.0,0,0.0,0.249203,288.38861083984375,17.66656494140625,0.3060551834106445
216.51422119140625,0.0,0.0,0,0.0,0.274572,283.48577880859375,300.0,0.5834857749938964
216.51422119140625,0.0,0.0,0,0.0,0.290047,283.48577880859375,300.0,0.5834857749938964
200.20672607421875,0.0,0.0,0,0.0,0.30314,299.79327392578125,154.10299682617188,0.45389628410339355
200.20672607421875,0.0,0.0,0,0.0,0.311087,299.79327392578125,154.10299682617188,0.45389628410339355
138.16905212402344,0.0,0.0,0,0.0,0.33278,361.83094787597656,299.99998474121094,0.661830940246582
138.16905212402344,0.0,0.0,0,0.0,0.348254,361.83094787597656,299.99998474121094,0.661830940246582
208.74667358398438,0.0,0.0,0,4.001565301336996e-9,0.34944,291.2533264120141,0.0,0.29125333786010743
208.4807586669922,0.0,0.0,0,0.0,0.34944,291.51918029785156,2.0044403076171875,0.2935236167907715
137.9112548828125,0.0,0.0,0,150.0,0.349298,212.0887451171875,0.0,0.3181331205368042
137.9112548828125,0.0,0.0,0,150.0,0.341563,212.0887451171875,0.0,0.3181331205368042
186.99905395507812,0.0,0.0,0,150.0,0.328844,163.00094604492188,0.0,0.2445014190673828
186.99905395507812,0.0,0.0,0,150.0,0.321112,163.00094604492188,0.0,0.2445014190673828
125.24913024902344,0.0,0.0,0,150.0,0.308389,224.7508544921875,0.0,0.3371262717247009
123.39900207519531,0.0,0.0,0,149.99996948242188,0.300657,226.60096740722656,0.0,0.33990145683288575
105.84005737304688,0.0,0.0,0,150.0,0.287935,244.15994262695312,0.0,0.3662399339675903
110.29397583007812,0.0,0.0,0,150.00003051757812,0.280205,239.70611572265625,0.0,0.35955919504165645
189.67474365234375,0.0,0.0,0,150.0,0.26748,160.32525634765625,0.0,0.24048789024353026
189.67474365234375,0.0,0.0,0,150.0,0.259749,160.32525634765625,0.0,0.24048789024353026
208.1648406982422,0.0,0.0,0,3.966511119557481e-9,0.249495,291.83514404296875,0.0,0.2918351554870605
208.1648406982422,0.0,0.0,0,3.605842291420913e-10,0.249495,291.83514404296875,0.0,0.2918351554870605
155.45599365234375,0.0,0.0,0,0.0,0.274639,344.54400634765625,300.0,0.6445440101623535
155.45599365234375,0.0,0.0,0,0.0,0.290095,344.54400634765625,300.0,0.6445440101623535
211.2344512939453,0.0,0.0,0,0.0,0.301008,288.7655487060547,26.276992797851562,0.31504254341125487
211.74070739746094,0.0,0.0,0,0.0,0.302362,288.25880432128906,41.57037353515625,0.3298291969299316
155.5237579345703,0.0,0.0,0,0.0,0.326807,344.4762420654297,300.0,0.644476261138916
155.5237579345703,0.0,0.0,0,0.0,0.342256,344.4762420654297,300.0,0.644476261138916
116.7288818359375,0.0,0.0,0,0.0,0.351235,383.2711181640625,3.5230000019073486,0.3867941379547119
118.94755554199219,0.0,0.0,0,0.0,0.351417,381.05250549316406,3.315537214279175,0.3843680763244629
112.81729125976562,0.0,0.0,0,150.0,0.348945,237.18270874023438,0.0,0.35577406167984005
112.16139221191406,0.0,0.0,0,149.99998474121094,0.34122,237.83859252929688,0.0,0.35675789594650265
103.29174041748047,0.0,0.0,0,150.0,0.328491,246.708251953125,0.0,0.3700623607635498
104.91835021972656,0.0,0.0,0,150.00001525878906,0.320768,245.08168029785156,0.0,0.367622537612915
134.21434020996094,0.0,0.0,0,150.0,0.308036,215.78565979003906,0.0,0.32367849111557007
132.92771911621094,0.0,0.0,0,149.99998474121094,0.300316,217.072265625,0.0,0.32560839414596554
112.36609649658203,0.0,0.0,0,150.0,0.287581,237.63389587402344,0.0,0.35645083665847777
112.36609649658203,0.0,0.0,0,150.0,0.279862,237.63389587402344,0.0,0.35645083665847777
119.47872161865234,0.0,0.0,0,150.0,0.267127,230.52127075195312,0.0,0.3457819104194641
120.9482192993164,0.0,0.0,0,150.00001525878906,0.259408,229.05181884765625,0.0,0.34357773542404174
